,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item
155049,7373,libffi,0.9.0,libffi,105bdf65bbec0c89,2018,34995159,12393945,11147179,MacroBang,define_closure_mod!,src/high/mod.rs,355,28,UnsafeBlockUserProvided,10682803,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True
661816,50173,rendy-wsi,0.5.1,rendy_wsi,fa496bfe0796c666,2018,231863306,83330663,74248552,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/rendy-wsi-0.5.1/src/lib.rs,66,18,UnsafeBlockUserProvided,71313465,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
395160,21934,elfy,0.2.2,elfy,1dd54c8cfa55c498,2018,98774312,35312473,31722850,MacroBang,read_u64!,src/macros.rs,69,12,UnsafeBlockUserProvided,30662838,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True
74102,3724,winit,0.20.0,winit,b5cf70b2570a064a,2018,18142384,6419478,5738175,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/winit-0.20.0/src/platform_impl/linux/x11/window.rs,926,12,UnsafeBlockUserProvided,5384915,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
1013747,96001,kontrak-sqlite,0.1.4,kontrak_sqlite,c1958664283c1de2,2015,434555708,156859891,140520619,Root,{{root}},src/connection.rs,64,8,UnsafeBlockUserProvided,135190655,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
881859,74660,longest-increasing-subsequence,0.1.0,longest_increasing_subsequence,ac3b8ab242681ded,2018,335950817,121469351,108898056,Root,{{root}},src/lib.rs,183,4,UnsafeBlockUserProvided,104422119,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::Extend[0]::extend[0],core.iter.traits.collect.Extend.extend,True
995675,91855,drone-cortex-m,0.11.1,drone_cortex_m,ee32520669b2c256,2018,416328391,150352303,134748626,Root,{{root}},src/fib/proc/fiber.rs,234,8,UnsafeBlockUserProvided,129496205,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True
706699,54204,processortrace,0.0.1,processortrace,9414d819099d2d16,2015,249550582,89621857,80071295,Root,{{root}},src/lib.rs,215,8,UnsafeBlockUserProvided,77008596,Normal,Rust,core,core[e667]::cmp[0]::PartialOrd[0]::le[0],core.cmp.PartialOrd.le,True
587206,41277,cargo-xbuild,0.5.20,xargo_lib,583fd55045b4b14d,2015,190475776,68215254,60890679,Root,{{root}},src/flock.rs,155,8,UnsafeBlockUserProvided,58720956,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
733863,58035,pgrustxn,0.0.7,pgrustxn,848879c29e830017,2015,264889977,95277470,85276574,Root,{{root}},src/texttools.rs,34,4,UnsafeBlockUserProvided,81922216,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
741715,59070,joinkit,0.2.0,mjoin,dfcb444c1fd77fb5,2015,269580480,96953002,86799700,Root,{{root}},src/bin/mjoin.rs,205,22,UnsafeBlockUserProvided,83420073,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
867713,72624,pasts,0.0.1,pasts,bb6a14cf1a1e40aa,2018,328160999,118513329,106208196,Root,{{root}},src/spawner/mod.rs,86,4,UnsafeBlockUserProvided,101836626,Normal,Rust,core,core[e667]::clone[0]::Clone[0]::clone[0],core.clone.Clone.clone,True
706474,54090,c3p0_pg,0.27.0,c3p0_pg,2a374f22284e6ee4,2018,249093167,89482811,79933599,MacroDerive,#[derive(__rental_structs_and_impls)],<::rental::rental macros>,6,36,UnsafeBlockUserProvided,76868020,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True
521385,32566,beach_map,0.1.2,beach_map,45bae23ac7ffaa8d,2018,149629919,53425209,47796644,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/beach_map-0.1.2/src/lib.rs,380,16,UnsafeBlockUserProvided,46102876,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
408186,24000,imxrt1062-lpspi1,0.1.0,imxrt1062_lpspi1,4c4ebb0ae809d647,2018,107882655,38425062,34636296,Root,{{root}},src/cfgr1.rs,360,8,UnsafeBlockUserProvided,33394215,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True
384690,20588,ggraphics,0.0.2,ggraphics,d926dc4d1acd8f8d,2018,92226342,32925207,29565216,Root,{{root}},src/lib.rs,349,8,UnsafeBlockUserProvided,28685786,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
341786,15856,imgui-ext,0.3.0,imgui_ext,aa7b193370536e68,2018,72118991,25721085,22992223,MacroBang,imgui_slider_scalar!,src/macros.rs,87,16,UnsafeBlockUserProvided,22198641,Normal,Rust,imgui_ext,imgui_ext[8cfc]::slider[0]::Slider[0]::build[0],imgui_ext.slider.Slider.build,True
881803,74599,nflog,0.9.0,nflog,83d8d362c75d8f76,2015,335852253,121435554,108858785,Root,{{root}},src/message.rs,199,33,UnsafeBlockUserProvided,104386313,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True
376896,19259,kompact,0.8.1,kompact,821610bad22891c0,2018,86613853,30961153,27795105,Root,{{root}},src/runtime.rs,347,8,UnsafeBlockUserProvided,26900153,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True
665584,50877,fart-cli,0.4.0,fart,f1eed0818aea4cbd,2018,234401180,84272323,75134558,Root,{{root}},src/serve/events.rs,151,14,UnsafeBlockUserProvided,72181871,Normal,Rust,futures_core,futures_core[273c]::stream[0]::Stream[0]::poll_next[0],futures_core.stream.Stream.poll_next,True
535495,34823,compression,0.1.5,compression,787c3bcf102c65d9,2018,161548748,57517478,51353351,Root,{{root}},src/bzip2/encoder.rs,459,43,UnsafeBlockUserProvided,49607178,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
705742,54021,ral,0.1.1,ral,ef061a4c5f284b64,2018,248917050,89425283,79886283,Root,{{root}},src/lib.rs,56,8,UnsafeBlockUserProvided,76817431,Normal,Rust,core,core[e667]::ops[0]::bit[0]::BitOr[0]::bitor[0],core.ops.bit.BitOr.bitor,True
711592,55355,async-coap,0.1.0,async_coap,d71b9ebe76ea180c,2018,254891629,91469911,81761154,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/async-coap-0.1.0/src/arc_guard.rs,152,26,UnsafeBlockUserProvided,78649877,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
717082,56425,nss,0.7.1,nss,88f3ef2c46087798,2015,259009079,92903219,83123423,Root,{{root}},src/lib.rs,217,8,UnsafeBlockUserProvided,79919991,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
656452,48844,specs-static,0.3.0,specs_static,dbdd09aaf33ad9a2,2015,226005276,81341706,72443372,Root,{{root}},src/lib.rs,116,20,UnsafeBlockUserProvided,69591228,Unsafe,Rust,specs,specs[ff7a]::storage[0]::UnprotectedStorage[0]::remove[0],specs.storage.UnprotectedStorage.remove,True
954267,85177,reusable-memory,0.1.1,reusable_memory,947ad4bc21a3bb85,2018,386860927,139323888,124721545,Root,{{root}},src/borrow.rs,56,3,UnsafeBlockUserProvided,119934204,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
520705,32505,pamsm,0.3.1-alpha.0,pamsm,b0131ad391457c52,2015,149397979,53311218,47700242,Root,{{root}},src/pam_types.rs,41,8,UnsafeBlockUserProvided,45999333,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
682558,52146,assembler,0.10.1,assembler,2583a4ae346af69a,2015,240067264,86190069,76927727,Root,{{root}},src/mnemonic_parameter_types/memory/MemoryOperand.rs,409,49,UnsafeBlockUserProvided,73924119,Normal,Rust,assembler,assembler[f78e]::mnemonic_parameter_types[0]::registers[0]::Register[0]::index[0],assembler.mnemonic_parameter_types.registers.Register.index,True
371630,18604,capnp,0.11.1,capnp,9b2d25aa315f7260,2018,83887083,29859021,26776169,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/capnp-0.11.1/src/private/layout.rs,3091,8,UnsafeBlockUserProvided,25912611,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
805521,65184,digilent-waveforms,0.0.16,digilent_waveforms,60f38f5c1c6d36ff,2018,295310499,106702600,95574367,Root,{{root}},src/lib.rs,301,8,UnsafeBlockUserProvided,91628879,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
379124,19434,virt,0.2.11,virt,faf0436691910731,2015,87212610,31192055,28010356,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/virt-0.2.11/src/domain_snapshot.rs,251,8,UnsafeBlockUserProvided,27131546,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
754546,60629,pkcs11,0.4.1,pkcs11,18f35fce090c7dca,2015,276755445,99789236,89314220,Root,{{root}},src/lib.rs,166,4,UnsafeBlockUserProvided,85704395,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
266427,12027,mallumo-gls,0.43.0,mallumo_gls,8aa7e58b8f7b4a85,2015,55929591,19866668,17799964,Root,{{root}},src/buffer/immutable_buffer.rs,26,8,UnsafeBlockUserProvided,17168944,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True
498582,31319,lockfree,0.5.1,lockfree,23a584d9d1fb463e,2015,142970404,51079429,45772125,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/lockfree-0.5.1/src/channel/mpmc.rs,231,20,UnsafeBlockUserProvided,44026905,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
1010888,95195,crfsuite,0.2.6,crfsuite,d575ca7248c29322,2015,431623467,155681415,139451417,Root,{{root}},src/lib.rs,474,8,UnsafeBlockUserProvided,134192676,Normal,Rust,alloc,alloc[5a1b]::string[0]::ToString[0]::to_string[0],alloc.string.ToString.to_string,True
1026658,98309,dominator,0.5.6,dominator,e2bb93a776b3f92b,2018,445337955,160592850,143959479,MacroAttr,#[wasm_bindgen],src/bindings.rs,7,0,UnsafeBlockUserProvided,138344887,Normal,Rust,wasm_bindgen,wasm_bindgen[9867]::convert[0]::traits[0]::IntoWasmAbi[0]::into_abi[0],wasm_bindgen.convert.traits.IntoWasmAbi.into_abi,True
414182,24351,rad,0.5.0,rad,209f65b4ac6ee13f,2015,109246142,38949814,35110234,Root,{{root}},src/rados.rs,443,25,UnsafeBlockUserProvided,33789139,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
538722,35350,plotters-unsable,0.1.13-5c709bb,plotters_unsable,db5afe24e537ea95,2018,163445295,58338795,52119617,Root,{{root}},src/chart/mesh.rs,177,12,UnsafeBlockUserProvided,50309294,Normal,Rust,core,core[e667]::clone[0]::Clone[0]::clone[0],core.clone.Clone.clone,True
495383,31062,efm32hg309f64,0.1.0,efm32hg309f64,df0e38ca27bf6927,2018,141826098,50735241,45439922,Root,{{root}},src/usart1/input.rs,98,8,UnsafeBlockUserProvided,43723680,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True
734752,58333,imxrt1062-wdog1,0.1.0,imxrt1062_wdog1,b51bad964d6715fe,2018,265993730,95719691,85681242,Root,{{root}},src/wcr.rs,684,8,UnsafeBlockUserProvided,82305248,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True
683156,52232,sonic-server,1.2.3,sonic,d5ae60b4c84bd5e1,2018,240364045,86294706,77016530,MacroBang,crate_authors!,<::clap::macros::crate_authors macros>,12,47,UnsafeBlockUserProvided,74023157,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True
157741,7657,varisat,0.2.1,varisat,981f0a24a20a7eec,2018,36878497,12944084,11599449,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/varisat-0.2.1/src/prop/long.rs,31,4,UnsafeBlockUserProvided,11195674,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True
962139,86720,cortex-m-rtfm,0.5.1,rtfm,13a1adee810c2099,2018,392775889,141591031,126820425,Root,{{root}},src/tq.rs,52,8,UnsafeBlockUserProvided,121870309,Normal,Rust,rtfm,rtfm[d529]::Monotonic[0]::now[0],rtfm.Monotonic.now,True
398157,22696,truetype,0.29.0,truetype,d6c7b09a2f246188,2015,101738067,36314803,32658305,MacroBang,read!,src/tape.rs,76,34,UnsafeBlockUserProvided,31571342,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True
630744,46319,hike,0.1.2,hike,3c2efc1669b77a76,2015,213818420,76795669,68374393,Root,{{root}},src/main.rs,71,4,UnsafeBlockUserProvided,65879064,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
815417,66379,lazysort,0.2.1,lazysort,9301bc4ca46a9786,2015,300612675,108567874,97245359,Root,{{root}},src/lib.rs,41,4,UnsafeBlockUserProvided,93229935,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True
526116,33727,libass,0.1.3,libass,fa5865e46df213b3,2018,155161727,55326280,49511947,Root,{{root}},src/library.rs,53,8,UnsafeBlockUserProvided,47761007,Normal,Rust,core,core[e667]::iter[0]::traits[0]::iterator[0]::Iterator[0]::map[0],core.iter.traits.iterator.Iterator.map,True
402078,23126,libicmp,0.1.2,libicmp,487145c31f6ce394,2015,103786695,37032994,33329102,Root,{{root}},src/socket.rs,44,8,UnsafeBlockUserProvided,32176255,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
263975,11888,edf-reader,0.6.0,edf_reader,fb9f1531016dddba,2018,55049186,19585364,17563183,Root,{{root}},src/lib.rs,26,4,UnsafeBlockUserProvided,16923768,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True
705727,54018,sway-alttab,1.1.2,sway_alttab,cc73f77d23a88399,2018,248903231,89421488,79884785,Root,{{root}},src/main.rs,60,4,UnsafeBlockUserProvided,76814867,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
556482,36827,c_linked_list,1.1.1,c_linked_list,865702ca4a2937b8,2015,169806080,60791091,54307117,Root,{{root}},src/lib.rs,97,19,UnsafeBlockUserProvided,52330414,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True
231568,9385,physsol,0.2.0,physsol,2186bf2318709a0b,2015,43830315,15569534,13931342,MacroBang,var_vec!,src/rk4.rs,61,20,UnsafeBlockUserProvided,13452153,Normal,Rust,physsol,physsol[96ec]::rk4[0]::Var[0]::step[0],physsol.rk4.Var.step,True
367100,18144,kiss3d,0.22.1,kiss3d,dca6ce6ca1894d72,2015,81906294,29144585,26153763,Root,{{root}},src/builtin/object_material.rs,102,8,UnsafeBlockUserProvided,25292029,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
794493,63868,rage,0.0.19,rage,4a5bb919a40fc643,2018,289938208,104637111,93735294,MacroBang,$crate::_js_impl!,<::stdweb::webcore::macros::_js_impl macros>,29,60,UnsafeBlockUserProvided,89938341,Normal,Rust,core,core[e667]::default[0]::Default[0]::default[0],core.default.Default.default,True
794820,64108,rtti-derive,0.4.0,rtti_derive,a24baa79716a50ec,2015,291079355,105037711,94114093,Root,{{root}},src/lib.rs,298,4,UnsafeBlockUserProvided,90271579,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True
10735,196,tokio,0.2.9,tokio,26ed757ab3b1eeba,2018,872388,358426,325806,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/tokio-0.2.9/src/io/async_read.rs,117,8,UnsafeBlockUserProvided,286240,Normal,Rust,bytes,bytes[2d6f]::buf[0]::buf_mut[0]::BufMut[0]::bytes_mut[0],bytes.buf.buf_mut.BufMut.bytes_mut,True
630939,46372,silver,1.1.0,silver,12266ffd05e08caf,2015,213934049,76839888,68417158,Root,{{root}},src/modules/status.rs,63,4,UnsafeBlockUserProvided,65914486,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
389209,21263,libcwa,0.1.0,libcwa,d27195969d8aee0d,2015,95258847,34010193,30544211,Root,{{root}},src/lib.rs,137,12,UnsafeBlockUserProvided,29574299,Normal,Rust,core,core[e667]::ops[0]::index[0]::IndexMut[0]::index_mut[0],core.ops.index.IndexMut.index_mut,True
734363,58270,rendy-shader,0.5.1,rendy_shader,28366b818e89fd5e,2018,265865584,95646252,85617563,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/rendy-shader-0.5.1/src/lib.rs,285,16,UnsafeBlockUserProvided,82262692,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::into_result[0],core.ops.try.Try.into_result,True
741757,59072,joinkit,0.2.0,hjoin,819d0591b5da3ed6,2015,269582505,96953552,86800189,Root,{{root}},src/bin/hjoin.rs,203,17,UnsafeBlockUserProvided,83420706,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
897069,77706,alpm,0.8.0,alpm,20ea322597f7e270,2018,351232221,126762546,113470595,Root,{{root}},src/db.rs,85,20,UnsafeBlockUserProvided,108916586,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
940842,83434,bitsign,0.1.1,bitsign,659ee2c23cdff33c,2018,378002709,136300441,122006874,Root,{{root}},src/main.rs,113,12,UnsafeBlockUserProvided,117160808,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
952388,84646,hydrogen,0.1.5,hydrogen,46e4072805f33adf,2015,383943181,138312538,123832331,Root,{{root}},src/types.rs,118,31,UnsafeBlockUserProvided,119036824,Normal,Rust,hydrogen,hydrogen[d7e4]::Stream[0]::send[0],hydrogen.Stream.send,True
141028,6514,canal,0.1.3,canal,583d2eb3e3a3e937,2015,31706609,11143146,9977322,Root,{{root}},src/mpmc/mutex_linked_list.rs,92,8,UnsafeBlockUserProvided,9566591,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True
962606,86842,linux-perf-file-reader,0.1.0,linux_perf_file_reader,2bf5d3ab3e6135e5,2015,393180367,141792844,127001548,Root,{{root}},src/lib.rs,384,4,UnsafeBlockUserProvided,122026991,Normal,Rust,std,std[5a7f]::io[0]::Read[0]::read_exact[0],std.io.Read.read_exact,True
788856,63360,reffers,0.6.0,reffers,bf6e403c6b20e959,2018,287956677,103964394,93115584,Root,{{root}},src/rc.rs,373,8,UnsafeBlockUserProvided,89346503,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
832863,69077,mango,0.3.0,mango,1437f654e8a7d67f,2018,312559706,112883793,101128446,MacroAttr,#[wasm_bindgen],src/ui/webi/compile_str.rs,3,0,UnsafeBlockUserProvided,96963101,Unsafe,Rust,wasm_bindgen,wasm_bindgen[de4b]::convert[0]::traits[0]::RefFromWasmAbi[0]::ref_from_abi[0],wasm_bindgen.convert.traits.RefFromWasmAbi.ref_from_abi,True
